nt, t, solve_time
1, 0.01000, 65.30865
2, 0.02000, 63.88692
3, 0.03000, 52.05778
4, 0.04000, 64.78327
5, 0.05000, 38.65133
6, 0.06000, 27.78113
7, 0.07000, 16.27189
8, 0.08000, 39.14047
9, 0.09000, 36.85563
10, 0.10000, 44.29920
11, 0.11000, 23.84764
12, 0.12000, 33.62185
13, 0.13000, 34.53721
14, 0.14000, 30.35527
15, 0.15000, 36.09158
16, 0.16000, 17.86505
17, 0.17000, 20.41602
18, 0.18000, 38.46973
19, 0.19000, 42.60917
20, 0.20000, 17.17510
21, 0.21000, 35.79402
22, 0.22000, 27.44979
23, 0.23000, 26.77876
24, 0.24000, 25.32124
25, 0.25000, 31.29471
26, 0.26000, 33.10764
27, 0.27000, 31.45890
28, 0.28000, 31.27391
29, 0.29000, 35.55930
30, 0.30000, 26.41660
31, 0.31000, 29.74574
32, 0.32000, 26.32605
33, 0.33000, 42.54195
34, 0.34000, 37.19013
35, 0.35000, 18.95995
36, 0.36000, 19.20971
37, 0.37000, 17.61315
38, 0.38000, 28.37692
39, 0.39000, 16.17293
40, 0.40000, 18.98821
41, 0.41000, 33.04870
42, 0.42000, 31.66884
43, 0.43000, 16.42498
44, 0.44000, 30.56725
45, 0.45000, 25.12411
46, 0.46000, 18.59620
47, 0.47000, 22.98036
48, 0.48000, 25.59168
49, 0.49000, 27.01827
50, 0.50000, 21.08531
51, 0.51000, 14.47158
52, 0.52000, 16.88161
53, 0.53000, 25.52908
54, 0.54000, 22.48464
55, 0.55000, 21.60750
56, 0.56000, 24.02265
57, 0.57000, 29.99848
58, 0.58000, 15.73773
59, 0.59000, 23.97514
60, 0.60000, 28.12178
61, 0.61000, 23.74014
62, 0.62000, 22.06239
63, 0.63000, 11.43473
64, 0.64000, 12.54800
65, 0.65000, 22.27244
66, 0.66000, 22.32150
67, 0.67000, 26.87823
68, 0.68000, 21.25226
69, 0.69000, 18.46101
70, 0.70000, 18.43954
71, 0.71000, 21.64842
72, 0.72000, 23.23899
73, 0.73000, 17.92476
74, 0.74000, 15.08106
75, 0.75000, 25.68758
76, 0.76000, 19.00160
77, 0.77000, 17.42693
78, 0.78000, 14.72510
79, 0.79000, 15.04260
80, 0.80000, 20.18488
81, 0.81000, 18.79217
82, 0.82000, 24.34270
83, 0.83000, 19.12357
84, 0.84000, 24.39895
85, 0.85000, 15.00669
86, 0.86000, 19.52590
87, 0.87000, 27.04472
88, 0.88000, 21.66556
89, 0.89000, 18.42617
90, 0.90000, 20.79816
91, 0.91000, 16.20089
92, 0.92000, 15.28151
93, 0.93000, 26.98858
94, 0.94000, 21.92122
95, 0.95000, 15.99625
96, 0.96000, 16.10551
97, 0.97000, 19.50000
98, 0.98000, 22.01703
99, 0.99000, 14.48984
100, 1.00000, 14.04609
101, 1.01000, 17.19563
102, 1.02000, 21.37190
103, 1.03000, 20.76888
104, 1.04000, 19.11224
105, 1.05000, 22.12154
106, 1.06000, 18.78715
107, 1.07000, 11.12170
108, 1.08000, 11.53015
109, 1.09000, 16.34027
110, 1.10000, 15.60005
111, 1.11000, 18.75308
112, 1.12000, 11.23750
113, 1.13000, 16.78028
114, 1.14000, 10.00350
115, 1.15000, 12.00927
116, 1.16000, 25.76519
117, 1.17000, 25.01052
118, 1.18000, 18.78515
119, 1.19000, 19.55119
120, 1.20000, 22.38972
121, 1.21000, 21.18027
122, 1.22000, 25.90209
123, 1.23000, 18.49051
124, 1.24000, 17.64557
125, 1.25000, 19.19250
126, 1.26000, 21.71980
127, 1.27000, 26.07417
128, 1.28000, 25.46139
129, 1.29000, 26.46013
130, 1.30000, 18.99660
131, 1.31000, 24.10652
132, 1.32000, 25.00962
133, 1.33000, 23.28136
134, 1.34000, 22.96260
135, 1.35000, 23.89713
136, 1.36000, 18.20923
137, 1.37000, 17.98799
138, 1.38000, 33.41757
139, 1.39000, 30.73559
140, 1.40000, 32.87649
141, 1.41000, 29.58530
142, 1.42000, 20.52333
143, 1.43000, 29.29316
144, 1.44000, 25.36833
145, 1.45000, 29.56646
146, 1.46000, 31.68686
147, 1.47000, 23.67388
148, 1.48000, 30.87335
149, 1.49000, 28.64837
150, 1.50000, 27.63944
151, 1.51000, 30.47696
152, 1.52000, 35.76175
153, 1.53000, 29.11774
154, 1.54000, 32.31727
155, 1.55000, 26.21853
156, 1.56000, 26.87971
157, 1.57000, 23.80348
158, 1.58000, 21.04231
159, 1.59000, 16.34031
160, 1.60000, 25.32992
161, 1.61000, 20.06088
162, 1.62000, 26.89866
163, 1.63000, 24.41576
164, 1.64000, 29.17454
165, 1.65000, 35.80641
166, 1.66000, 28.05731
167, 1.67000, 22.82869
168, 1.68000, 25.98286
169, 1.69000, 40.80556
170, 1.70000, 28.57544
171, 1.71000, 23.58144
172, 1.72000, 28.22099
173, 1.73000, 30.64948
174, 1.74000, 27.41508
175, 1.75000, 31.14659
176, 1.76000, 33.77913
177, 1.77000, 29.42102
178, 1.78000, 26.91473
179, 1.79000, 19.26744
180, 1.80000, 26.01904
181, 1.81000, 29.93511
182, 1.82000, 34.32976
183, 1.83000, 26.48817
184, 1.84000, 30.51169
185, 1.85000, 23.47266
186, 1.86000, 30.76647
187, 1.87000, 23.17187
188, 1.88000, 28.27155
189, 1.89000, 20.08712
190, 1.90000, 18.82710
191, 1.91000, 24.64831
192, 1.92000, 19.33764
193, 1.93000, 29.40628
194, 1.94000, 22.91086
195, 1.95000, 22.12390
196, 1.96000, 23.91097
197, 1.97000, 28.82321
198, 1.98000, 23.72473
199, 1.99000, 23.77817
200, 2.00000, 27.43838
201, 2.01000, 26.03713
202, 2.02000, 20.86086
203, 2.03000, 22.50281
204, 2.04000, 19.77027
205, 2.05000, 20.83290
206, 2.06000, 28.34936
207, 2.07000, 21.55901
208, 2.08000, 19.85957
209, 2.09000, 24.73298
210, 2.10000, 24.47187
211, 2.11000, 17.68260
212, 2.12000, 21.32833
213, 2.13000, 17.02122
214, 2.14000, 19.28669
215, 2.15000, 21.81347
216, 2.16000, 23.33686
217, 2.17000, 32.32069
218, 2.18000, 27.59571
219, 2.19000, 25.97487
220, 2.20000, 18.86073
221, 2.21000, 28.92396
222, 2.22000, 22.16228
223, 2.23000, 24.09363
224, 2.24000, 26.18408
225, 2.25000, 24.74089
226, 2.26000, 28.29687
227, 2.27000, 23.08994
228, 2.28000, 21.92416
229, 2.29000, 19.60191
230, 2.30000, 16.87312
231, 2.31000, 22.37137
232, 2.32000, 23.83334
233, 2.33000, 22.14622
234, 2.34000, 29.98977
235, 2.35000, 27.70048
236, 2.36000, 26.90008
237, 2.37000, 25.36786
238, 2.38000, 24.76476
239, 2.39000, 23.00483
240, 2.40000, 19.38046
241, 2.41000, 24.96324
242, 2.42000, 25.35918
243, 2.43000, 20.90248
244, 2.44000, 25.63227
245, 2.45000, 30.31050
246, 2.46000, 33.44680
247, 2.47000, 21.80091
248, 2.48000, 36.48205
249, 2.49000, 38.96685
250, 2.50000, 20.85538
251, 2.51000, 29.36251
252, 2.52000, 22.12509
253, 2.53000, 33.96482
254, 2.54000, 21.61245
255, 2.55000, 25.72829
256, 2.56000, 24.04951
257, 2.57000, 42.90252
258, 2.58000, 29.54101
259, 2.59000, 29.37601
260, 2.60000, 21.16907
261, 2.61000, 31.61001
262, 2.62000, 17.77450
263, 2.63000, 14.73260
264, 2.64000, 28.99010
265, 2.65000, 36.11702
266, 2.66000, 22.59597
267, 2.67000, 30.26526
268, 2.68000, 24.66830
269, 2.69000, 38.34219
270, 2.70000, 37.35855
271, 2.71000, 28.00169
272, 2.72000, 28.05086
273, 2.73000, 26.58518
274, 2.74000, 27.91968
275, 2.75000, 31.78661
276, 2.76000, 31.54015
277, 2.77000, 35.85882
278, 2.78000, 33.28722
279, 2.79000, 40.46721
280, 2.80000, 26.95204
281, 2.81000, 25.45762
282, 2.82000, 29.87644
283, 2.83000, 27.97659
284, 2.84000, 28.44866
285, 2.85000, 30.20220
286, 2.86000, 21.14512
287, 2.87000, 25.58783
288, 2.88000, 24.49873
289, 2.89000, 19.55116
290, 2.90000, 20.58463
291, 2.91000, 28.05811
292, 2.92000, 25.16162
293, 2.93000, 28.66074
294, 2.94000, 28.24379
295, 2.95000, 26.28248
296, 2.96000, 27.99051
297, 2.97000, 21.89376
298, 2.98000, 23.97139
299, 2.99000, 24.13078
300, 3.00000, 25.93137
301, 3.01000, 28.19096
302, 3.02000, 26.76947
303, 3.03000, 29.33142
304, 3.04000, 25.36967
305, 3.05000, 24.02972
306, 3.06000, 24.42326
307, 3.07000, 23.16291
308, 3.08000, 23.87637
309, 3.09000, 26.03774
310, 3.10000, 33.89917
311, 3.11000, 24.90576
312, 3.12000, 17.08645
313, 3.13000, 18.81294
314, 3.14000, 21.26709
315, 3.15000, 28.97850
316, 3.16000, 22.94870
317, 3.17000, 22.00747
318, 3.18000, 28.28119
319, 3.19000, 24.93545
320, 3.20000, 23.84600
321, 3.21000, 31.63088
322, 3.22000, 21.85045
323, 3.23000, 26.33023
324, 3.24000, 24.47472
325, 3.25000, 26.66350
326, 3.26000, 27.62749
327, 3.27000, 27.70236
328, 3.28000, 29.43366
329, 3.29000, 27.09092
330, 3.30000, 19.17529
331, 3.31000, 24.38440
332, 3.32000, 22.88900
333, 3.33000, 26.70613
334, 3.34000, 21.23769
335, 3.35000, 23.01529
336, 3.36000, 30.61543
337, 3.37000, 33.24517
338, 3.38000, 28.30581
339, 3.39000, 25.52906
340, 3.40000, 21.96838
341, 3.41000, 16.19414
342, 3.42000, 23.21401
343, 3.43000, 23.88108
344, 3.44000, 29.02450
345, 3.45000, 28.48752
346, 3.46000, 25.53163
347, 3.47000, 26.53807
348, 3.48000, 20.32773
349, 3.49000, 17.73487
350, 3.50000, 23.11467
351, 3.51000, 28.05811
352, 3.52000, 19.53677
353, 3.53000, 26.91362
354, 3.54000, 20.82211
355, 3.55000, 21.19904
356, 3.56000, 24.53973
357, 3.57000, 22.02545
358, 3.58000, 19.38369
359, 3.59000, 17.93449
360, 3.60000, 19.34428
361, 3.61000, 23.62437
362, 3.62000, 28.37590
363, 3.63000, 27.72655
364, 3.64000, 28.55386
365, 3.65000, 24.20147
366, 3.66000, 25.39699
367, 3.67000, 27.69186
368, 3.68000, 23.30681
369, 3.69000, 24.92220
370, 3.70000, 26.03162
371, 3.71000, 27.76788
372, 3.72000, 26.40525
373, 3.73000, 28.69033
374, 3.74000, 27.54122
375, 3.75000, 23.61918
376, 3.76000, 23.96821
377, 3.77000, 27.52868
378, 3.78000, 26.37164
379, 3.79000, 22.26450
380, 3.80000, 22.57463
381, 3.81000, 26.27683
382, 3.82000, 22.69958
