nt, t, solve_time
1, 0.01000, 64.29843
2, 0.02000, 48.65994
3, 0.03000, 49.86646
4, 0.04000, 48.89872
5, 0.05000, 36.67452
6, 0.06000, 38.67460
7, 0.07000, 36.96986
8, 0.08000, 36.99769
9, 0.09000, 36.57876
10, 0.10000, 36.80500
11, 0.11000, 36.74403
12, 0.12000, 35.63003
13, 0.13000, 38.79178
14, 0.14000, 26.36783
15, 0.15000, 26.21245
16, 0.16000, 25.43600
17, 0.17000, 26.01686
18, 0.18000, 25.30359
19, 0.19000, 37.02088
20, 0.20000, 37.00227
21, 0.21000, 37.09928
22, 0.22000, 36.71269
23, 0.23000, 25.67865
24, 0.24000, 25.26460
25, 0.25000, 25.96610
26, 0.26000, 25.87660
27, 0.27000, 24.89183
28, 0.28000, 25.94373
29, 0.29000, 26.07508
30, 0.30000, 25.85720
31, 0.31000, 25.26239
32, 0.32000, 25.79244
33, 0.33000, 25.67718
34, 0.34000, 25.65264
35, 0.35000, 26.85883
36, 0.36000, 25.62576
37, 0.37000, 25.64368
38, 0.38000, 25.89951
39, 0.39000, 25.78411
40, 0.40000, 25.31247
41, 0.41000, 25.14662
42, 0.42000, 26.13757
43, 0.43000, 25.62838
44, 0.44000, 26.27865
45, 0.45000, 26.18642
46, 0.46000, 26.04745
47, 0.47000, 25.28329
48, 0.48000, 26.98656
49, 0.49000, 25.82478
50, 0.50000, 27.18838
51, 0.51000, 26.02665
52, 0.52000, 25.86896
53, 0.53000, 25.26239
54, 0.54000, 25.85580
55, 0.55000, 25.81077
56, 0.56000, 25.85327
57, 0.57000, 25.97535
58, 0.58000, 25.62246
59, 0.59000, 25.50996
60, 0.60000, 25.64339
61, 0.61000, 25.52568
62, 0.62000, 25.63239
63, 0.63000, 25.99888
64, 0.64000, 25.53490
65, 0.65000, 26.41729
66, 0.66000, 25.84016
67, 0.67000, 25.06649
68, 0.68000, 25.33063
69, 0.69000, 25.65708
70, 0.70000, 25.56431
71, 0.71000, 26.09614
72, 0.72000, 26.42472
73, 0.73000, 26.24731
74, 0.74000, 26.07777
75, 0.75000, 25.55425
76, 0.76000, 25.36813
77, 0.77000, 25.69758
78, 0.78000, 25.72463
79, 0.79000, 25.64843
80, 0.80000, 25.78282
81, 0.81000, 26.36115
82, 0.82000, 25.63234
83, 0.83000, 25.98392
84, 0.84000, 25.73199
85, 0.85000, 25.91254
86, 0.86000, 27.47660
87, 0.87000, 25.99018
88, 0.88000, 26.54236
89, 0.89000, 25.94006
90, 0.90000, 26.24444
91, 0.91000, 26.05014
92, 0.92000, 25.67663
93, 0.93000, 26.06397
94, 0.94000, 25.82860
95, 0.95000, 26.49743
96, 0.96000, 25.76097
97, 0.97000, 25.77128
98, 0.98000, 25.91447
99, 0.99000, 26.14162
100, 1.00000, 25.70697
101, 1.01000, 25.42704
102, 1.02000, 26.01238
103, 1.03000, 25.30710
104, 1.04000, 25.62604
105, 1.05000, 25.22910
106, 1.06000, 25.74667
107, 1.07000, 25.74716
108, 1.08000, 26.93045
109, 1.09000, 25.78855
110, 1.10000, 25.48125
111, 1.11000, 25.72002
112, 1.12000, 26.32016
113, 1.13000, 25.49493
114, 1.14000, 25.37873
115, 1.15000, 25.16704
116, 1.16000, 25.38827
117, 1.17000, 36.65949
118, 1.18000, 36.97836
119, 1.19000, 36.74541
120, 1.20000, 37.11847
121, 1.21000, 36.85474
122, 1.22000, 38.89253
123, 1.23000, 36.87745
124, 1.24000, 39.22522
125, 1.25000, 37.26361
126, 1.26000, 37.15392
127, 1.27000, 37.16798
128, 1.28000, 36.41604
129, 1.29000, 37.16796
130, 1.30000, 36.89757
131, 1.31000, 36.53581
132, 1.32000, 37.22076
133, 1.33000, 36.24370
134, 1.34000, 36.80269
135, 1.35000, 36.23631
136, 1.36000, 37.33802
137, 1.37000, 36.60768
138, 1.38000, 37.22910
139, 1.39000, 36.27895
140, 1.40000, 36.68336
141, 1.41000, 36.83071
142, 1.42000, 37.68887
143, 1.43000, 37.13305
144, 1.44000, 38.26933
145, 1.45000, 36.93831
146, 1.46000, 37.47161
147, 1.47000, 36.90151
148, 1.48000, 39.42778
149, 1.49000, 41.40012
150, 1.50000, 42.29268
151, 1.51000, 37.82333
152, 1.52000, 37.45473
153, 1.53000, 36.66573
154, 1.54000, 36.73003
155, 1.55000, 37.36834
156, 1.56000, 37.56647
157, 1.57000, 37.01640
158, 1.58000, 37.10911
159, 1.59000, 37.03974
160, 1.60000, 36.89894
161, 1.61000, 37.26253
162, 1.62000, 38.25732
163, 1.63000, 36.87104
164, 1.64000, 37.16582
165, 1.65000, 36.32418
166, 1.66000, 36.49050
167, 1.67000, 37.38675
168, 1.68000, 37.40498
169, 1.69000, 36.70698
170, 1.70000, 38.26564
171, 1.71000, 37.28341
172, 1.72000, 37.50924
173, 1.73000, 36.73341
174, 1.74000, 51.87628
175, 1.75000, 50.24475
176, 1.76000, 36.74255
177, 1.77000, 48.73005
178, 1.78000, 47.93529
179, 1.79000, 36.61581
180, 1.80000, 36.23112
181, 1.81000, 37.01588
182, 1.82000, 35.75069
183, 1.83000, 37.27659
184, 1.84000, 36.75571
185, 1.85000, 36.61124
186, 1.86000, 36.27342
187, 1.87000, 37.31636
188, 1.88000, 36.90339
189, 1.89000, 36.83975
190, 1.90000, 37.53083
191, 1.91000, 36.80227
192, 1.92000, 36.95212
193, 1.93000, 37.37090
194, 1.94000, 37.55735
195, 1.95000, 37.07004
196, 1.96000, 37.11797
197, 1.97000, 37.78677
198, 1.98000, 37.90451
199, 1.99000, 38.74400
200, 2.00000, 38.49400
201, 2.01000, 38.10288
202, 2.02000, 37.33907
203, 2.03000, 37.21537
204, 2.04000, 37.37358
205, 2.05000, 36.94669
206, 2.06000, 36.52345
207, 2.07000, 36.88132
208, 2.08000, 48.50879
209, 2.09000, 47.62795
210, 2.10000, 48.25899
211, 2.11000, 47.37554
212, 2.12000, 48.84250
213, 2.13000, 48.48222
214, 2.14000, 48.88236
215, 2.15000, 47.74010
216, 2.16000, 37.25631
217, 2.17000, 37.25303
218, 2.18000, 38.36302
219, 2.19000, 36.71954
220, 2.20000, 36.41492
221, 2.21000, 36.59557
222, 2.22000, 37.75932
223, 2.23000, 37.22416
224, 2.24000, 50.01960
225, 2.25000, 48.37850
226, 2.26000, 37.06677
227, 2.27000, 37.19093
228, 2.28000, 36.77807
229, 2.29000, 37.21047
230, 2.30000, 37.17389
231, 2.31000, 36.85284
232, 2.32000, 36.75574
233, 2.33000, 36.90608
234, 2.34000, 37.67975
235, 2.35000, 36.80637
236, 2.36000, 38.19303
237, 2.37000, 37.07415
238, 2.38000, 36.47999
239, 2.39000, 36.21410
240, 2.40000, 48.12241
241, 2.41000, 48.26056
242, 2.42000, 48.07119
243, 2.43000, 48.09607
244, 2.44000, 48.08760
245, 2.45000, 48.10967
246, 2.46000, 49.08014
247, 2.47000, 39.36701
248, 2.48000, 37.95578
249, 2.49000, 38.11632
250, 2.50000, 37.38933
251, 2.51000, 36.63258
252, 2.52000, 36.98899
253, 2.53000, 36.65414
254, 2.54000, 37.13504
255, 2.55000, 36.62811
256, 2.56000, 37.12093
257, 2.57000, 48.13401
258, 2.58000, 47.87375
259, 2.59000, 47.41065
260, 2.60000, 37.20472
261, 2.61000, 36.86009
262, 2.62000, 36.95764
263, 2.63000, 36.61387
264, 2.64000, 36.00854
265, 2.65000, 36.94781
266, 2.66000, 36.88023
267, 2.67000, 36.37451
268, 2.68000, 37.80805
269, 2.69000, 37.28163
270, 2.70000, 38.44964
271, 2.71000, 38.01376
272, 2.72000, 38.86761
273, 2.73000, 50.95981
274, 2.74000, 47.45144
275, 2.75000, 48.34080
276, 2.76000, 48.68427
277, 2.77000, 48.19357
278, 2.78000, 48.55149
279, 2.79000, 48.05711
280, 2.80000, 37.31722
281, 2.81000, 36.02091
282, 2.82000, 36.53319
283, 2.83000, 36.34795
284, 2.84000, 37.04532
285, 2.85000, 37.08399
286, 2.86000, 37.68815
287, 2.87000, 37.12245
288, 2.88000, 37.14472
289, 2.89000, 48.48768
290, 2.90000, 48.79883
291, 2.91000, 48.12608
292, 2.92000, 49.07022
293, 2.93000, 48.67292
294, 2.94000, 38.07008
295, 2.95000, 49.27683
296, 2.96000, 37.44312
297, 2.97000, 36.68888
298, 2.98000, 37.56694
299, 2.99000, 36.67103
300, 3.00000, 37.50886
301, 3.01000, 37.90100
302, 3.02000, 37.26529
303, 3.03000, 37.38873
304, 3.04000, 38.01519
305, 3.05000, 37.15591
306, 3.06000, 48.19028
307, 3.07000, 47.64093
308, 3.08000, 49.05466
309, 3.09000, 48.29759
310, 3.10000, 47.91767
311, 3.11000, 48.08351
312, 3.12000, 48.62220
313, 3.13000, 48.58907
314, 3.14000, 36.69325
315, 3.15000, 37.69873
316, 3.16000, 38.41363
317, 3.17000, 38.06616
318, 3.18000, 37.98089
319, 3.19000, 37.19046
320, 3.20000, 36.81460
321, 3.21000, 36.88225
322, 3.22000, 48.83288
323, 3.23000, 48.61150
324, 3.24000, 48.69267
325, 3.25000, 48.19339
